id,url,old_rank,new_rank
158,https://www.nmims.edu/nmims-old-website/programs/special,1,1
159,https://www.nmims.edu/nmims-old-website/press-room,1,1
160,https://www.nmims.edu/nmims-old-website/reports-and-plans,1,1
161,https://www.nmims.edu/nmims-old-website/nirf-nmims-data,1,1
162,https://www.nmims.edu/nmims-old-website/naac-report,1,1
163,https://www.nmims.edu/nmims-old-website/international,3.037823958,3.501212047
165,https://www.nmims.edu/nmims-old-website/corporate,1,1
166,https://www.nmims.edu/nmims-old-website/students/campus-life/department-of-welfare,1,1
167,https://www.nmims.edu/nmims-old-website/education-loan,1,1
168,https://www.nmims.edu/nmims-old-website/mandatory-disclosure,2.932557055,3.378734707
169,https://www.nmims.edu/nmims-old-website/know-the-identity-of-nmims,1,1
170,https://www.nmims.edu/nmims-old-website/examination/education-verification,2.9918003,3.447652553
171,https://www.nmims.edu/nmims-old-website/examination/exam-forms/application-for-e-transcript-delivery,1,1
172,https://www.nmims.edu/nmims-old-website/docs/Facility management.pdf,1,1
173,https://www.nmims.edu/nmims-old-website/best-practices,1,1
174,https://www.nmims.edu/nmims-old-website/institutional-distinctiveness,1,1
175,https://www.nmims.edu/nmims-old-website/disclaimer,1,1
176,https://www.nmims.edu/nmims-old-website/privacy-policy,1,1
177,https://www.nmims.edu/nmims-old-website/mandatory-disclosure/university-bye-laws,1,1
178,https://www.nmims.edu/nmims-old-website/mandatory-disclosure/anti-ragging-measures,1,1
179,https://www.nmims.edu/nmims-old-website/docs/ugc-regulation-curbing-menace-of-ragging-1-.pdf,1,1
180,https://www.nmims.edu/nmims-old-website/docs/saksham-guidelines.pdf,1,1
181,https://www.nmims.edu/nmims-old-website/docs/courses-available-at-narsee-monjee-institute-of-management-studies-hyderabad.pdf,1,1
182,https://www.nmims.edu/docs/NMIMS-Bouquet-of-Courses-2019.pdf,1,1
183,https://www.nmims.edu/nmims-old-website/press-room/tel-aviv-univ-of-israel-collaborates-with-nmims,0.41248723,0.48066318
184,https://www.nmims.edu/docs/SVKM`s NMIMS - Pharmacy 2020.pdf,1,1
185,https://www.nmims.edu/docs/SVKM`s NMIMS - Management 2020.pdf,1,1
186,https://www.nmims.edu/docs/SVKM`s NMIMS - Engineering 2020.pdf,1,1
187,https://www.nmims.edu/docs/SVKM`s NMIMS -College 2020.pdf,1,1
188,https://www.nmims.edu/docs/SVKM`sNMIMS - Overall 2020.pdf,1,1
189,https://www.nmims.edu/nmims-old-website/about/facts-and-history,1,1
190,https://www.nmims.edu/nmims-old-website/about/facts-and-history/libraries,1,1
191,https://www.nmims.edu/nmims-old-website/about/facts-and-history/schools,0.369120078,0.430912295
192,https://www.nmims.edu/nmims-old-website/about/facts-and-history/founding,1,1
193,https://www.nmims.edu/nmims-old-website/about/facts-and-history/mission,1,1
194,https://www.nmims.edu/nmims-old-website/about/facts-and-history/hostel,1,1
195,https://www.nmims.edu/nmims-old-website/about/svkm,1,1
196,https://www.nmims.edu/nmims-old-website/about/svkm/mission,1,1
197,https://www.nmims.edu/nmims-old-website/about/svkm/institution,1,1
198,https://www.nmims.edu/nmims-old-website/about/svkm/founders,1,1
199,https://www.nmims.edu/nmims-old-website/about/svkm/presidents,1,1
200,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/associate-deans,1,1
201,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/board-of-management,1,1
202,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/deans,0.369120078,0.430912295
203,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/other-statutory-bodies,1,1
204,https://www.nmims.edu/nmims-old-website/about/image-gallery/library,1,1
205,https://www.nmims.edu/nmims-old-website/about/image-gallery/class-rooms,1,1
206,https://www.nmims.edu/nmims-old-website/about/image-gallery/cafeteria,1,1
207,https://www.nmims.edu/nmims-old-website/about/image-gallery/hostel-facilities,1,1
208,https://www.nmims.edu/nmims-old-website/about/image-gallery/research-labs,1,1
209,https://www.nmims.edu/nmims-old-website/about/image-gallery/mumbai-campus,1,1
210,https://www.nmims.edu/nmims-old-website/about/image-gallery/shirpur-operations,1,1
211,https://www.nmims.edu/nmims-old-website/faq,1,1
212,https://www.nmims.edu/nmims-old-website/events,0.408561159,0.477541182
213,https://www.nmims.edu/nmims-old-website/research/management,1,1
214,https://www.nmims.edu/nmims-old-website/research/engineering,1,1
215,https://www.nmims.edu/nmims-old-website/research/pharmacy,1,1
216,https://www.nmims.edu/nmims-old-website/research/science,1,1
217,https://www.nmims.edu/nmims-old-website/research/economics,1,1
218,https://www.nmims.edu/nmims-old-website/research/commerce,1,1
219,https://www.nmims.edu/nmims-old-website/research/resources,1,1
220,https://www.nmims.edu/nmims-old-website/research/international-conferences,1,1
221,https://www.nmims.edu/nmims-old-website/research/colloquia,0.41248723,0.48066318
222,https://www.nmims.edu/nmims-old-website/research/faculty-recognitions,1,1
223,https://www.nmims.edu/nmims-old-website/docs/research-colloquium-1-27-june-2012.pdf,1,1
224,https://www.nmims.edu/nmims-old-website/docs/research-faculty-devlopment-seminar.pdf,1,1
225,https://www.nmims.edu/nmims-old-website/docs/research-colloquium-4-may-2012.pdf,1,1
226,https://www.nmims.edu/nmims-old-website/docs/research-seminar-21-april-2012-1-.pdf,1,1
227,https://www.nmims.edu/nmims-old-website/docs/research-colloquium-10-april-2012.pdf,1,1
229,https://www.nmims.edu/nmims-old-website/docs/research-colloquium-13-jan-2012-1-.pdf,1,1
230,https://www.nmims.edu/nmims-old-website/docs/nmims-corporate-brochure-2016.pdf,1,1
231,https://www.nmims.edu/nmims-old-website/international/programs,1,1
232,https://www.nmims.eduhttps://www.nmims.edu/nmims-old-website/docs/doing-business-in-emerging-economics.pdf,1,1
233,https://www.nmims.eduhttps://www.nmims.edu/nmims-old-website/docs/pharmaceutical-manufacturing-in-india.pdf,1,1
234,https://www.nmims.eduhttps://www.nmims.edu/nmims-old-website/docs/modern-industrial-automation.pdf,1,1
235,https://www.nmims.eduhttps://www.nmims.edu/nmims-old-website/docs/contemporary-issues-in-economic-development-with-special-focus-on-emerging-economies.pdf,1,1
236,https://www.nmims.edu/nmims-old-website/international/nmims-around-the-globe/affiliations,1,1
237,https://www.nmims.edu/nmims-old-website/international/nmims-around-the-globe/visitors,1,1
238,https://www.nmims.edu/nmims-old-website/international/nmims-around-the-globe/guest-lectures,1,1
239,https://www.nmims.edu/nmims-old-website/international/nmims-around-the-globe/contact-us,1,1
240,https://www.nmims.edu/nmims-old-website/international/nmims-around-the-globe/faculty,1,1
241,https://www.nmims.edu/nmims-old-website/international/nmims-around-the-globe/exchange-students,1,1
242,https://www.nmims.edu/nmims-old-website/international/collaboration,1,1
243,https://www.nmims.edu/nmims-old-website/international/collaboration/engineering,1,1
244,https://www.nmims.edu/nmims-old-website/international/collaboration/architecture,0.416533031,0.486303478
245,https://www.nmims.edu/nmims-old-website/international/collaboration/business,1,1
246,https://www.nmims.edu/nmims-old-website/international/collaboration/science,1,1
247,https://www.nmims.edu/nmims-old-website/international/support-services,1,1
248,https://www.nmims.edu/nmims-old-website/international/support-services/international-relations-office,1,1
249,https://www.nmims.edu/nmims-old-website/international/support-services/international-students-guide,0.416533031,0.486303478
